category,type,difficulty,question,correct_answer,incorrect_answers/0,incorrect_answers/1,incorrect_answers/2
General Knowledge,multiple,easy,"Virgin Trains, Virgin Atlantic and Virgin Racing, are all companies owned by which famous entrepreneur?   ",Richard Branson,Alan Sugar,Donald Trump,Bill Gates
General Knowledge,multiple,medium,"According to the BBPA, what is the most common pub name in the UK?",Red Lion,Royal Oak,White Hart,King&#039;s Head
General Knowledge,multiple,easy,"In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?",Key,Sword,Pen,Cellphone
General Knowledge,multiple,easy,Area 51 is located in which US state?,Nevada,Arizona,New Mexico,Utah
General Knowledge,multiple,easy,What is the largest organ of the human body?,Skin,Heart,large Intestine,Liver
General Knowledge,multiple,hard,What is the airspeed velocity of an unladen swallow?,24 MPH,15 MPH,20 MPH,200 MPH
General Knowledge,multiple,easy,What word represents the letter &#039;T&#039; in the NATO phonetic alphabet?,Tango,Target,Taxi,Turkey
General Knowledge,multiple,easy,Which American president appears on a one dollar bill?,George Washington,Thomas Jefferson,Abraham Lincoln,Benjamin Franklin
General Knowledge,multiple,medium,Which language is NOT Indo-European?,Hungarian,Russian,Greek,Latvian
General Knowledge,multiple,easy,What is &quot;dabbing&quot;?,A dance,A medical procedure,A sport,A language
General Knowledge,multiple,medium,In 2013 how much money was lost by Nigerian scams?,$12.7 Billion,$95 Million,$956 Million,$2.7 Billion
General Knowledge,multiple,hard,Which of the following is not another name for the eggplant?,Potimarron,Brinjal,Guinea Squash,Melongene
General Knowledge,multiple,medium,Which of these companies does NOT manufacture automobiles?,Ducati,Nissan,GMC,Fiat
General Knowledge,multiple,medium,What was the destination of the missing flight MH370?,Beijing,Kuala Lumpur,Singapore,Tokyo
General Knowledge,multiple,medium,What is the unit of currency in Laos?,Kip,Ruble,Konra,Dollar
General Knowledge,multiple,hard,Which of these banks are NOT authorized to issue currency notes in Hong Kong?,OCBC,HSBC,Standard Chartered,Bank of China
General Knowledge,multiple,easy,"What was the nickname given to the Hughes H-4 Hercules, a heavy transport flying boat which achieved flight in 1947?",Spruce Goose,Noah&#039;s Ark,Fat Man,Trojan Horse
General Knowledge,multiple,medium,What is the romanized Japanese word for &quot;university&quot;?,Daigaku,Toshokan,Jimusho,Shokudou
General Knowledge,multiple,medium,What is the Italian word for &quot;tomato&quot;?,Pomodoro,Aglio,Cipolla,Peperoncino
General Knowledge,multiple,medium,"What is the name of the popular animatronic singing fish prop, singing such hits such as &quot;Don&#039;t Worry, Be Happy&quot;?",Big Mouth Billy Bass,Big Billy Bass,Singing Fish,Sardeen
General Knowledge,multiple,hard,Disney&#039;s Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?,Harry,Gus,Phineas,Ezra
General Knowledge,multiple,medium,The term &quot;scientist&quot; was coined in which year?,1833,1933,1942,1796
General Knowledge,multiple,medium,"According to the United States&#039; CDC, one in how many Americans die annually due to smoking?",Five,Twenty,Ten,One hundred
General Knowledge,multiple,medium,What character was once considered to be the 27th letter of the alphabet?,Ampersand,Interrobang,Tilde,Pilcrow
General Knowledge,multiple,medium,Which of the following carbonated soft drinks were introduced first?,Dr. Pepper,Coca-Cola,Sprite,Mountain Dew
General Knowledge,multiple,medium,Which of the General Mills Corporation&#039;s monster cereals was the last to be released in the 1970&#039;s?,Fruit Brute,Count Chocula,Franken Berry,Boo-Berry
General Knowledge,multiple,medium,When was Hubba Bubba first introduced?,1979,1984,1972,1980
General Knowledge,multiple,easy,Which restaurant&#039;s mascot is a clown?,McDonald&#039;s,Whataburger,Burger King,Sonic
General Knowledge,multiple,easy,How tall is the Burj Khalifa?,"2,722 ft","2,717 ft","2,546 ft","3,024 ft"
General Knowledge,multiple,medium,What is the Portuguese word for &quot;Brazil&quot;?,Brasil,Brazil,Brasilia,Bras&iacute;l
General Knowledge,multiple,medium,Apple co-founder Steve Jobs died from complications of which form of cancer?,Pancreatic,Bone,Liver,Stomach
General Knowledge,multiple,medium,"Which slogan did the fast food company, McDonald&#039;s, use before their &quot;I&#039;m Lovin&#039; It&quot; slogan?",We Love to See You Smile,Why Pay More!?,Have It Your Way,Making People Happy Through Food
General Knowledge,multiple,medium,What was the original name of the search engine &quot;Google&quot;?,BackRub,CatMassage,SearchPro,Netscape Navigator
General Knowledge,multiple,hard,Who founded the Khan Academy?,Sal Khan,Ben Khan,Kitt Khan,Adel Khan
General Knowledge,multiple,easy,Which of the following presidents is not on Mount Rushmore?,John F. Kennedy,Theodore Roosevelt,Abraham Lincoln,Thomas Jefferson
General Knowledge,multiple,medium,The website &quot;Shut Up &amp; Sit Down&quot; reviews which form of media?,Board Games,Television Shows,Video Games,Films
General Knowledge,multiple,easy,What is Tasmania?,An Australian State,A flavor of Ben and Jerry&#039;s ice-cream,A Psychological Disorder,The Name of a Warner Brothers Cartoon Character
General Knowledge,multiple,easy,"Which country, not including Japan, has the most people of japanese decent?",Brazil,China,South Korea,United States of America
General Knowledge,multiple,medium,Which country has the most Trappist breweries?,Belgium,Netherlands,France,USA
General Knowledge,multiple,medium,What is the currency of Poland?,Złoty,Ruble,Euro,Krone
General Knowledge,multiple,easy,Terry Gilliam was an animator that worked with which British comedy group?,Monty Python,The Goodies&lrm;,The League of Gentlemen&lrm;,The Penny Dreadfuls
General Knowledge,multiple,medium,What was the name given to Japanese military dictators who ruled the country through the 12th and 19th Century?,Shogun,Ninja,Samurai,Shinobi
General Knowledge,multiple,hard,"If you planted the seeds of Quercus robur, what would grow?",Trees,Grains,Vegetables,Flowers
General Knowledge,multiple,medium,Which American manufactured submachine gun was informally known by the American soldiers that used it as &quot;Grease Gun&quot;?,M3,Colt 9mm,Thompson,MAC-10
General Knowledge,multiple,hard,How many notes are there on a standard grand piano?,88,98,108,78
General Knowledge,multiple,easy,How many furlongs are there in a mile?,Eight,Two,Four,Six
General Knowledge,multiple,easy,Earth is located in which galaxy?,The Milky Way Galaxy,The Mars Galaxy,The Galaxy Note,The Black Hole
General Knowledge,multiple,hard,"In &quot;Battle Cats&quot;, what is Moneko / MISS Moneko&#039;s critical percentage rate?",15%,20%,10%,25%
General Knowledge,multiple,hard,"In &quot;Resident Evil 3&quot;, how many inventory slots does Jill have at the start of the game?",10,6,8,12
